stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_rolloff95_Mean,spectral_spectentropy_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
wdLUxu_OJh4,0.810554,3.749082,4.322466,124.478203,1.780256,2643.648226,0.39881,3095.897804,9025.952868,0.735609,7804.597285,0.515866,2.733635,0.10898,0.630673,0.019828,0.120964,-0.118506,0.038005,0.102794,0.12454,-0.110531,-0.076963,-0.026916,1400.240214,0.628114,860.786833,64.114525,67.322724,0.501268,-0.020769,0.157854,girls
wdLvKel9Cbo,0.927333,4.846632,4.010404,137.238334,3.836896,2775.610542,0.532345,2981.086835,8971.027976,0.790846,50282.477397,0.5986,1.765428,-0.250761,0.461461,-0.108708,0.298145,-0.271072,0.175128,0.056843,0.077734,0.047073,0.17305,0.027727,1626.896104,0.497403,760.647259,60.348027,67.696114,0.623606,-0.020711,0.1432,mixed
wdOfg3UPqzA,0.924074,4.334542,4.573304,143.156769,4.823184,3909.75607,0.588211,3742.306511,11488.201263,0.799308,23924.951752,0.688461,0.969049,-0.425096,0.18171,-0.104068,0.154777,-0.027496,0.036893,-0.080869,-0.194139,-0.175134,0.016867,0.086037,1966.709677,0.517419,787.558338,63.716904,68.974751,0.402697,-0.013022,0.159673,girls
wxbvq4A02uQ,0.865186,3.738819,4.366238,116.83867,2.039542,2879.883094,0.402777,3241.275209,9617.65579,0.750871,25614.459867,0.58891,2.750139,0.438137,0.531791,0.04921,0.342682,0.20774,-0.026745,-0.064657,-0.056311,0.013835,-0.014509,0.039767,1480.085288,0.628998,851.846413,60.900084,65.834295,0.529784,0.011817,0.147466,mixed
w4zL859ehzU,0.917259,4.168024,4.198805,131.720189,4.73133,3484.60158,0.535888,3626.956036,11080.576088,0.792095,43136.015689,0.691779,1.915997,-0.238002,0.608953,0.028746,0.179407,0.102005,0.053961,0.019084,-0.100133,-0.114346,-0.15625,-0.126659,1824.773096,0.491086,975.508682,60.888676,66.035687,0.446614,-0.022935,0.158095,mixed
xK9Miif2otY,0.902273,2.477619,3.860287,156.184286,3.00318,2363.113786,0.453962,2770.629817,8077.892379,0.755664,44880.925498,0.496922,1.722854,-0.131332,0.40907,-0.070092,0.252198,0.046986,0.215752,0.149712,0.217971,0.097385,0.142177,0.008535,1081.73913,0.557453,613.415203,52.454191,64.63036,0.629037,0.012708,0.105988,mixed
xNGvheoGSrE,0.886031,5.666043,4.150156,133.881753,2.904393,3869.096459,0.626296,3741.179152,11745.520433,0.82217,26058.189982,0.641266,1.156791,-0.539603,0.395377,0.019757,0.079811,0.056072,0.10814,0.03067,-0.020412,0.010604,-0.018438,-0.00873,2174.825532,0.539574,912.05779,61.899185,69.348747,0.462438,-0.008243,0.163677,mixed
xfIDBV2R5fw,0.932148,4.313429,4.091147,136.409545,5.312639,3526.456873,0.538369,3435.772221,10535.746257,0.80245,47534.004612,0.767159,1.85649,-0.286868,0.305669,-0.003672,0.174853,-0.008502,-0.0761,-0.030462,-0.037682,0.016227,-0.06487,-0.088553,2005.747724,0.50065,976.77027,65.880435,69.778995,0.46838,0.004081,0.154916,mixed
x1Vhqc54Sgs,0.89269,4.074056,4.011438,109.660248,3.358781,3344.082667,0.554576,3432.567858,10508.480207,0.807697,30733.344312,0.584621,1.602437,0.024334,0.540415,0.238688,0.1344,0.022046,0.018275,0.017488,0.005572,0.013878,-0.0058,0.027538,1699.726516,0.530321,908.494655,60.626654,65.821993,0.423051,-0.030078,0.165795,mixed
x75PlcuAiNc,0.87442,4.19432,4.012394,100.071882,3.741985,3635.517308,0.569651,3701.067992,11521.058522,0.808877,16678.37429,0.732603,1.595,-0.167333,0.383691,-0.082493,0.280095,-0.166353,0.053,0.069876,0.024632,-0.052733,-0.039434,-0.067505,1938.16092,0.545156,988.806081,67.547009,69.962697,0.466021,-0.02107,0.176297,girls
